movie_id,imdb_id,title,country,director,genre,festival
1088,tt3164988,the condemned,Russia,Nick Read,other documentary,idfa
1089,tt2222912,the creator,United Kingdom,Al Holmes,experimental fiction,clermontferrand
109,tt2555176,a selfmade man,United States,Lori Petchers,other documentary,frameline
1090,tt0481499,the croods,United States,Kirk Demicco,other fiction,berlinale
1091,tt2173658,the curse,United Kingdom,Fyzal Boulifa,other fiction,clermontferrand
1092,tt2512582,the dark matter of love,United Kingdom,Sarah Mccarthy,other documentary,tiff
1093,tt4057438,the death of jamie rolds,Ecuador,Lisandra I Rivera,other documentary,idfa
1094,tt0074400,the desert of the tartars,France,Valerio Zurlini,other fiction,cannes
1095,tt2279558,the devil,France,Jeangabriel Priot,other documentary,idfa
1096,tt3037176,the devils liar,South Africa,Riaan Hendricks,other documentary,idfa
1097,tt2701796,the devotion project foremost in my mind,United States,Antony Osso,other documentary,frameline
1098,tt2193252,the devotion project my person,United States,Antony Osso,other documentary,frameline
1099,tt3106898,the dick knost show,Canada,Bruce Sweeney,other fiction,tiff
11,tt5343312,berlin ecke bundesplatz a baker on the bread line,Germany,Hansgeorg Ullrich,other documentary,berlinale
1100,tt2352230,the dinner,Netherlands,Menno Meyjes,other fiction,tiff
1103,tt2767266,the director an evolution in three acts,United States,Christina Voros,other documentary,idfa
1104,tt3729920,the disappearance of eleanor rigby him and her,United States,Ned Benson,other fiction,tiff
1105,tt2860720,the dismantling,Canada,Sebastien Pilote,other fiction,tiff
1106,tt3091304,the dog,United States,Allison Berg,other documentary,tiff
1107,tt1825157,the double,United Kingdom,Richard Ayoade,other fiction,tiff
1108,tt3106944,the end of pinky,Canada,Claire Blanchet,animation fiction,tiff
1109,tt2768046,the end of the world,Portugal,Pedro Pinho,other fiction,berlinale
111,tt1540741,a single shot,United States,David M Rosenthal,other fiction,berlinale
1110,tt2770350,the eternal night of twelve moons,Colombia,Priscila Padilla,other documentary,berlinale
1111,tt0054861,the exiles,United States,Kent Mackenzie,other fiction,berlinale
1112,tt1486834,the f word,Canada,Michael Dowse,other fiction,tiff
1113,tt1839642,the face of love,United States,Arie Posin,other fiction,tiff
1115,tt3091272,the fake,South Korea,Yeon Sangho,animation fiction,tiff
1116,tt3005554,the fiction of the fix,United States,Cathy Sitzes,other fiction,frameline
1117,tt1837703,the fifth estate,United States,Bill Condon,other fiction,tiff
1118,tt2454430,the finishers,Belgium,Nils Tavernier,other fiction,tiff
1119,tt2190126,the first date,United States,Janella Lacson,other fiction,frameline
112,tt2677200,a society,Sweden,Jens Assur,other fiction,clermontferrand
1120,tt2623464,the first time,Sweden,Anders Hazelius,other fiction,berlinale
1124,tt2146020,the fox and the chickadee,Canada,Evan Derushie,animation fiction,clermontferrand
1125,tt2766546,the fox who followed the sound,Iran,Fatemeh Goudarzi,animation fiction,berlinale
1126,tt2182169,the fruit hunters,Canada,Yung Chang,other documentary,idfa
1128,tt0017925,the general,United States,Clyde Bruckman,other fiction,cannes
1129,tt1847746,the german doctor,Argentina,Luca Puenzo,other fiction,cannes
113,tt1828124,a spell to ward off the darkness,Estonia,Ben Rivers,experimental documentary,tiff
1130,tt2654562,the ghosts in our machine,Canada,Liz Marshall,other documentary,idfa
1131,tt2097930,the giant,United States,David Raboy,other fiction,clermontferrand
1132,tt2342750,the girl the siren,Sweden,Cristoffer Alund,animation fiction,clermontferrand
1133,tt2623502,the go doc project,United States,Cory Krueckeberg,other fiction,frameline
1134,tt3254524,the good son,Israel,Shirly Berkovitz,other documentary,idfa
1135,tt2319580,the grand seduction,Canada,Don Mckellar,other fiction,tiff
1136,tt1462900,the grandmaster,China,Wong Kar Wai,other fiction,berlinale
1137,tt1343092,the great gatsby,United States,Baz Luhrmann,other fiction,cannes
1138,tt2199377,the great rabbit,France,Atsushi Wada,animation fiction,berlinale
1139,tt0002206,the great steel secret,Netherlands,Alfred Machin,other fiction,clermontferrand
114,tt2390219,a story for the modlins,Spain,Sergio Oksman,other documentary,idfa
1140,tt2403021,the green inferno,United States,Eli Roth,other fiction,tiff
1141,tt2049559,the happy sad,United States,Rodney Evans,other fiction,frameline
1143,tt3394604,the horses of fukushima,Japan,Yoju Matsubayashi,other documentary,idfa
1144,tt1802529,the human experiment,United States,Dana Nachman,other documentary,idfa
1145,tt0179544,the humiliated,Denmark,Jesper Jargil,other documentary,idfa
1146,tt2565650,the husband,Canada,Bruce Mcdonald,other fiction,tiff
1147,tt1951181,the immigrant,United States,James Gray,other fiction,cannes
1148,tt3123178,the immoral,Norway,Lars Daniel Krutzkoff Jacobsen,other fiction,tiff
1149,tt2447806,the infamous t,United States,Melissa Koch,other documentary,frameline
115,tt2316929,a stranger,Croatia,Bobo Jelcic,other fiction,berlinale
1150,tt1700845,the invisible woman,United Kingdom,Ralph Fiennes,other fiction,tiff
1151,tt2704560,the irresistible rise of mose katumbi,Belgium,Thierry Michel,other documentary,idfa
1152,tt1621180,the karski report,France,Claude Lanzmann,other fiction,berlinale
1153,tt2802172,the kids from the port,Spain,Alberto Morais,other fiction,tiff
1154,tt2146788,the kings body,Portugal,Joao Pedro Rodrigues,other fiction,tiff
1155,tt0055069,the ladies man,United States,Jerry Lewis,other fiction,cannes
1156,tt2598592,the lala road,Australia,Letitia Lamb,other documentary,frameline
1157,tt0245500,the land of the wandering souls,Cambodia,Rithy Panh,other documentary,idfa
1158,tt0070290,the last detail,United States,Hal Ashby,other fiction,cannes
1159,tt0093389,the last emperor,United Kingdom,Bernardo Bertolucci,other fiction,cannes
116,tt0096337,a tale of the wind,France,Joris Ivens,other documentary,idfa
1161,tt0455590,the last king of scotland,United Kingdom,Kevin Macdonald,other documentary,idfa
1162,tt2153985,the last marble,India,Manjari Makijany,other fiction,clermontferrand
1163,tt2400002,the last match,Cuba,Antonio Hens,other fiction,frameline
1164,tt2450440,the last of robin hood,United States,Richard Glatzer,other fiction,tiff
1165,tt0070299,the legend of paul and paula,Germany,Heiner Carow,other fiction,berlinale
1166,tt2387513,the liberator,Venezuela,Alberto Arvelo,other fiction,tiff
1167,tt2131502,the life and crimes of doris payne,United States,Matthew Pond,other documentary,idfa
1168,tt2885328,the line,South Korea,Soojin Kim,other fiction,cannes
1169,tt2156288,the little house that could,Canada,Mars Roberge,other documentary,frameline
117,tt2241206,a thousand empty glasses,United Kingdom,Andrew Nolan,other fiction,frameline
1170,tt0057935,the lonely wife,India,Satyajit Ray,other fiction,cannes
1171,tt1951216,the look of love,United Kingdom,Michael Winterbottom,other fiction,berlinale
1172,tt1669698,the lost thing,Australia,Andrew Ruhemann,animation fiction,clermontferrand
1173,tt2234261,the love punch,United Kingdom,Joel Hopkins,other fiction,tiff
1174,tt2350496,the lunchbox,India,Ritesh Batra,other fiction,tiff
1175,tt2865772,the magnificent lion boy,United Kingdom,Ana Caro Sabogal,other fiction,cannes
1176,tt2594950,the major,Russia,Yuri Bykov,other fiction,tiff
1177,tt2094151,the man that got away,Canada,Trevor Anderson,other fiction,berlinale
1179,tt2248996,the mayor,Mexico,Emiliano Altuna Fistolera,other documentary,tiff
118,tt3118566,a thousand suns,France,Mati Diop,experimental documentary,tiff
1180,tt2764856,the meatballs and sorry bullies,Sweden,Johan Hagelbck,other fiction,berlinale
1181,tt2201828,the mermaids,Germany,Petra Clever,other fiction,frameline
1182,tt2274358,the meteor,Canada,Franois Delisle,other fiction,berlinale
1183,tt1921129,the militant,Uruguay,Manolo Nieto,other fiction,tiff
1184,tt3879374,the mole at the sea,Russia,Anna Kadykova,other fiction,berlinale
1185,tt2433336,the moo man,United Kingdom,Andy Heathcote,other documentary,berlinale
1186,tt2144169,the musgrave ritual,France,Georges Trville,other fiction,clermontferrand
1187,tt2423914,the naturalist,United States,Connor Hurley,other fiction,frameline
1188,tt1196948,the necessary death of charlie countryman,United States,Fredrik Bond,other fiction,berlinale
1189,tt3060670,the new black,United States,Yoruba Richen,other documentary,frameline
